"Tag Code","Site Name","First Time Value","Count"
"3D9.1BF26B9D0E","B2J - Bonneville PH2 Juvenile","6/3/2010 8:53:14 AM","1"
"3D9.1C2CDA45AD","B2J - Bonneville PH2 Juvenile","6/2/2010 6:15:54 AM","1"
"3D9.1BF26B4657","B2J - Bonneville PH2 Juvenile","6/1/2010 10:28:01 PM","1"
"3D9.1BF26B3F23","B2J - Bonneville PH2 Juvenile","6/1/2010 6:59:31 PM","1"
"3D9.1BF26BA287","B2J - Bonneville PH2 Juvenile","6/1/2010 1:22:20 AM","1"
"3D9.1BF26BE2EA","B2J - Bonneville PH2 Juvenile","5/31/2010 9:18:37 PM","1"
"3D9.1BF26B64DB","BCC - BON PH2 Corner Collector","5/31/2010 5:28:15 PM","1"
"3D9.1C2CFE7B21","BCC - BON PH2 Corner Collector","5/31/2010 5:59:15 AM","1"
"3D9.1BF26B89CC","BCC - BON PH2 Corner Collector","5/31/2010 5:52:33 AM","1"
"3D9.1C2D1503AB","BCC - BON PH2 Corner Collector","5/31/2010 4:42:31 AM","1"
"3D9.1C2CF5AE10","B2J - Bonneville PH2 Juvenile","5/30/2010 8:47:09 PM","1"
"3D9.1BF26BA559","B2J - Bonneville PH2 Juvenile","5/30/2010 5:35:54 PM","1"
"3D9.1C2D152B06","BCC - BON PH2 Corner Collector","5/30/2010 11:46:13 AM","1"
"3D9.1C2D177789","BCC - BON PH2 Corner Collector","5/30/2010 11:37:30 AM","1"
"3D9.1BF26B48CF","B2J - Bonneville PH2 Juvenile","5/30/2010 9:54:17 AM","1"
"3D9.1C2D215DC4","BCC - BON PH2 Corner Collector","5/30/2010 8:51:06 AM","1"
"3D9.1BF26B9E2A","BCC - BON PH2 Corner Collector","5/30/2010 7:10:09 AM","1"
"3D9.1BF26B924B","BCC - BON PH2 Corner Collector","5/30/2010 6:09:34 AM","1"
"3D9.1BF26B7C20","B2J - Bonneville PH2 Juvenile","5/30/2010 5:54:21 AM","1"
"3D9.1BF26BA2D7","BCC - BON PH2 Corner Collector","5/30/2010 4:50:08 AM","1"
"3D9.1C2D177C45","B2J - Bonneville PH2 Juvenile","5/30/2010 12:11:46 AM","1"
"3D9.1BF26BA030","B2J - Bonneville PH2 Juvenile","5/29/2010 2:05:19 PM","1"
"3D9.1BF26BA2A7","BCC - BON PH2 Corner Collector","5/29/2010 12:06:38 PM","1"
"3D9.1BF26BA463","B2J - Bonneville PH2 Juvenile","5/29/2010 11:36:16 AM","1"
"3D9.1BF26B5290","BCC - BON PH2 Corner Collector","5/29/2010 8:12:30 AM","1"
"3D9.1C2C29F02D","B2J - Bonneville PH2 Juvenile","5/29/2010 3:13:33 AM","1"
"3D9.1BF26B905F","B2J - Bonneville PH2 Juvenile","5/28/2010 9:10:59 AM","1"
"3D9.1BF26C019B","B2J - Bonneville PH2 Juvenile","5/28/2010 5:45:34 AM","1"
"3D9.1C2D028A78","BCC - BON PH2 Corner Collector","5/28/2010 5:13:55 AM","1"
"3D9.1BF26B8E00","B2J - Bonneville PH2 Juvenile","5/28/2010 1:41:48 AM","1"
"3D9.1BF26B9FB9","B2J - Bonneville PH2 Juvenile","5/27/2010 9:47:03 PM","1"
"3D9.1C2CEB8C1C","B2J - Bonneville PH2 Juvenile","5/27/2010 6:08:25 PM","1"
"3D9.1BF26B9F50","BCC - BON PH2 Corner Collector","5/27/2010 5:47:56 AM","1"
"3D9.1BF26B9CED","B2J - Bonneville PH2 Juvenile","5/27/2010 5:46:33 AM","1"
"3D9.1BF26B93D7","B2J - Bonneville PH2 Juvenile","5/26/2010 10:48:08 PM","1"
"3D9.1BF26B99C6","B2J - Bonneville PH2 Juvenile","5/26/2010 9:49:19 PM","1"
"3D9.1C2D15B128","B2J - Bonneville PH2 Juvenile","5/26/2010 9:31:36 PM","1"
"3D9.1C2D16702D","B2J - Bonneville PH2 Juvenile","5/26/2010 7:24:55 PM","1"
"3D9.1BF26B82B0","BCC - BON PH2 Corner Collector","5/26/2010 5:09:36 PM","1"
"3D9.1BF26B7203","BCC - BON PH2 Corner Collector","5/26/2010 2:54:21 PM","1"
"3D9.1C2CF603F6","BCC - BON PH2 Corner Collector","5/26/2010 2:07:25 PM","1"
"3D9.1BF26B9EE8","BCC - BON PH2 Corner Collector","5/26/2010 12:14:01 PM","1"
"3D9.1BF26B33B2","BCC - BON PH2 Corner Collector","5/26/2010 7:19:26 AM","1"
"3D9.1BF27FE524","BCC - BON PH2 Corner Collector","5/26/2010 4:22:50 AM","1"
"3D9.1BF26B4748","B2J - Bonneville PH2 Juvenile","5/26/2010 12:07:20 AM","1"
"3D9.1BF26B6C2D","BCC - BON PH2 Corner Collector","5/25/2010 10:48:15 PM","1"
"3D9.1BF26B6944","BCC - BON PH2 Corner Collector","5/25/2010 9:59:07 PM","1"
"3D9.1BF26B5409","B2J - Bonneville PH2 Juvenile","5/25/2010 4:06:00 PM","1"
"3D9.1BF26B79F1","BCC - BON PH2 Corner Collector","5/25/2010 12:09:16 PM","1"
"3D9.1BF26B5A83","BCC - BON PH2 Corner Collector","5/25/2010 10:40:39 AM","1"
"3D9.1BF26B8863","B2J - Bonneville PH2 Juvenile","5/25/2010 9:34:07 AM","1"
"3D9.1BF26B6E40","BCC - BON PH2 Corner Collector","5/25/2010 8:30:35 AM","1"
"3D9.1BF26B6FAE","BCC - BON PH2 Corner Collector","5/25/2010 7:43:04 AM","1"
"3D9.1BF27FE1B1","BCC - BON PH2 Corner Collector","5/25/2010 3:36:06 AM","1"
"3D9.1BF26BCB22","B2J - Bonneville PH2 Juvenile","5/24/2010 9:07:21 PM","1"
"3D9.1BF26B7797","BCC - BON PH2 Corner Collector","5/24/2010 11:37:36 AM","1"
"3D9.1BF27FB294","BCC - BON PH2 Corner Collector","5/24/2010 8:10:43 AM","1"
"3D9.1BF26B97BD","BCC - BON PH2 Corner Collector","5/24/2010 2:22:41 AM","1"
"3D9.1BF26BA03C","BCC - BON PH2 Corner Collector","5/24/2010 1:33:17 AM","1"
"3D9.1BF26B6269","B2J - Bonneville PH2 Juvenile","5/24/2010 12:06:12 AM","1"
"3D9.1BF2808840","B2J - Bonneville PH2 Juvenile","5/23/2010 10:13:17 PM","1"
"3D9.1BF26C0D17","BCC - BON PH2 Corner Collector","5/23/2010 9:00:39 PM","1"
"3D9.1BF26BCB68","B2J - Bonneville PH2 Juvenile","5/23/2010 8:57:31 PM","1"
"3D9.1BF26B9B2E","BCC - BON PH2 Corner Collector","5/23/2010 8:32:17 PM","1"
"3D9.1BF280FBEA","BCC - BON PH2 Corner Collector","5/23/2010 8:30:23 PM","1"
"3D9.1BF26BE014","BCC - BON PH2 Corner Collector","5/23/2010 8:19:52 PM","1"
"3D9.1BF26B7C52","BCC - BON PH2 Corner Collector","5/23/2010 1:49:55 PM","1"
"3D9.1BF26B717D","BCC - BON PH2 Corner Collector","5/23/2010 1:44:32 PM","1"
"3D9.1BF27F8C6D","B2J - Bonneville PH2 Juvenile","5/23/2010 1:12:38 PM","1"
"3D9.1C2C30CEC8","BCC - BON PH2 Corner Collector","5/23/2010 8:47:41 AM","1"
"3D9.1BF26BDD8D","BCC - BON PH2 Corner Collector","5/23/2010 6:59:29 AM","1"
"3D9.1BF26B7908","BCC - BON PH2 Corner Collector","5/23/2010 5:13:29 AM","1"
"3D9.1C2CFF4E47","BCC - BON PH2 Corner Collector","5/23/2010 4:40:46 AM","1"
"3D9.1BF26B9FEF","BCC - BON PH2 Corner Collector","5/23/2010 4:29:55 AM","1"
"3D9.1BF26B668E","BCC - BON PH2 Corner Collector","5/23/2010 3:31:15 AM","1"
"3D9.1BF26B5082","BCC - BON PH2 Corner Collector","5/22/2010 11:04:39 PM","1"
"3D9.1BF26B84B0","B2J - Bonneville PH2 Juvenile","5/22/2010 10:38:57 PM","1"
"3D9.1BF26B63E7","B2J - Bonneville PH2 Juvenile","5/22/2010 10:30:08 PM","1"
"3D9.1C2D15718C","BCC - BON PH2 Corner Collector","5/22/2010 9:15:43 PM","1"
"3D9.1BF27F84D2","BCC - BON PH2 Corner Collector","5/22/2010 8:48:27 PM","1"
"3D9.1BF26B6477","BCC - BON PH2 Corner Collector","5/22/2010 8:40:40 PM","1"
"3D9.1C2D212C41","BCC - BON PH2 Corner Collector","5/22/2010 7:07:32 PM","1"
"3D9.1BF26B929E","BCC - BON PH2 Corner Collector","5/22/2010 3:24:08 PM","1"
"3D9.1BF26BFB2F","B2J - Bonneville PH2 Juvenile","5/22/2010 12:41:40 PM","1"
"3D9.1C2CF53504","BCC - BON PH2 Corner Collector","5/22/2010 10:04:29 AM","1"
"3D9.1BF26B4038","B2J - Bonneville PH2 Juvenile","5/22/2010 1:19:28 AM","1"
"3D9.1BF26B4D1E","B2J - Bonneville PH2 Juvenile","5/21/2010 7:31:25 AM","1"
"3D9.1BF26B54F5","B2J - Bonneville PH2 Juvenile","5/21/2010 6:22:50 AM","1"
"3D9.1BF26B5BF7","BCC - BON PH2 Corner Collector","5/21/2010 3:05:47 AM","1"
"3D9.1C2CFFCDA4","BCC - BON PH2 Corner Collector","5/21/2010 2:21:11 AM","1"
"3D9.1C2D001608","B2J - Bonneville PH2 Juvenile","5/21/2010 2:08:57 AM","1"
"3D9.1C2D15E971","B2J - Bonneville PH2 Juvenile","5/20/2010 11:45:40 PM","1"
"3D9.1BF27FB861","BCC - BON PH2 Corner Collector","5/20/2010 11:21:34 PM","1"
"3D9.1BF26B6D51","BCC - BON PH2 Corner Collector","5/20/2010 10:26:04 PM","1"
"3D9.1BF26B9FDB","B2J - Bonneville PH2 Juvenile","5/20/2010 10:24:37 PM","1"
"3D9.1BF26B9FDE","B2J - Bonneville PH2 Juvenile","5/20/2010 9:56:41 PM","1"
"3D9.1C2D21C1E6","B2J - Bonneville PH2 Juvenile","5/20/2010 9:54:49 PM","1"
"3D9.1C2CFB37F5","B2J - Bonneville PH2 Juvenile","5/20/2010 8:34:04 PM","1"
"3D9.1C2CE9C978","BCC - BON PH2 Corner Collector","5/20/2010 8:21:21 PM","1"
"3D9.1BF26B808F","BCC - BON PH2 Corner Collector","5/20/2010 8:14:47 PM","1"
"3D9.1BF26BEB13","BCC - BON PH2 Corner Collector","5/20/2010 4:46:18 PM","1"
"3D9.1BF27FDA73","B2J - Bonneville PH2 Juvenile","5/20/2010 3:55:41 PM","1"
"3D9.1C2D21A3D5","BCC - BON PH2 Corner Collector","5/20/2010 12:55:03 PM","1"
"3D9.1BF26B88F5","BCC - BON PH2 Corner Collector","5/20/2010 12:38:05 PM","1"
"3D9.1BF26BA268","BCC - BON PH2 Corner Collector","5/20/2010 12:30:14 PM","1"
"3D9.1BF26B565E","B2J - Bonneville PH2 Juvenile","5/20/2010 8:24:25 AM","1"
"3D9.1BF26B9BC0","BCC - BON PH2 Corner Collector","5/20/2010 8:17:54 AM","1"
"3D9.1C2CF5AEA0","BCC - BON PH2 Corner Collector","5/20/2010 6:01:40 AM","1"
"3D9.1BF26B9A99","BCC - BON PH2 Corner Collector","5/20/2010 5:51:41 AM","1"
"3D9.1BF26BCFF7","B2J - Bonneville PH2 Juvenile","5/20/2010 3:30:58 AM","1"
"3D9.1C2CD9F92B","BCC - BON PH2 Corner Collector","5/20/2010 2:43:40 AM","1"
"3D9.1BF26C0336","BCC - BON PH2 Corner Collector","5/20/2010 1:03:11 AM","1"
"3D9.1BF26B7C29","BCC - BON PH2 Corner Collector","5/20/2010 12:01:43 AM","1"
"3D9.1BF26B92AF","BCC - BON PH2 Corner Collector","5/19/2010 10:42:36 PM","1"
"3D9.1C2CFC4719","BCC - BON PH2 Corner Collector","5/19/2010 10:28:18 PM","1"
"3D9.1C2CE28A48","B2J - Bonneville PH2 Juvenile","5/19/2010 9:33:14 PM","1"
"3D9.1BF26B3EAF","B2J - Bonneville PH2 Juvenile","5/19/2010 9:05:38 PM","1"
"3D9.1BF26B1AE2","BCC - BON PH2 Corner Collector","5/19/2010 8:43:41 PM","1"
"3D9.1BF26B20B2","B2J - Bonneville PH2 Juvenile","5/19/2010 1:23:14 PM","1"
"3D9.1BF26B4F13","B2J - Bonneville PH2 Juvenile","5/19/2010 1:20:58 PM","1"
"3D9.1C2CFB3073","BCC - BON PH2 Corner Collector","5/19/2010 10:49:15 AM","1"
"3D9.1C2D21188B","BCC - BON PH2 Corner Collector","5/19/2010 4:07:56 AM","1"
"3D9.1C2D17C5D7","BCC - BON PH2 Corner Collector","5/19/2010 3:18:56 AM","1"
"3D9.1BF26B25AD","BCC - BON PH2 Corner Collector","5/18/2010 5:51:21 PM","1"
